Device ID,Time,Temperature,Humidity,Temperature_ma,Humidity_ma
"""inTelli-Gee_prototype_v0.1_serial_1""",398.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",399.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",400.0,20.9,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",401.0,20.9,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",402.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",403.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",404.0,20.9,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",405.0,20.9,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",406.0,20.9,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",407.0,20.9,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",408.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",409.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",410.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",411.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",412.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",413.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",414.0,20.9,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",415.0,20.9,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",416.0,20.8,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",417.0,20.8,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",418.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",419.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",420.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",421.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",422.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",423.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",424.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",425.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",426.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",427.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",428.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",429.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",430.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",431.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",432.0,20.8,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",433.0,20.8,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",434.0,20.8,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",435.0,20.8,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",436.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",437.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",438.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",439.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",440.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",441.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",442.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",443.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",444.0,20.7,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",445.0,20.7,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",446.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",447.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",448.0,20.8,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",449.0,20.8,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",450.0,20.7,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",451.0,20.7,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",452.0,20.8,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",453.0,20.8,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",454.0,20.9,75.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",455.0,20.9,75.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",456.0,20.7,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",457.0,20.7,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",458.0,20.7,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",459.0,20.7,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",460.0,20.8,75.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",461.0,20.8,75.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",462.0,20.8,75.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",463.0,20.8,75.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",464.0,20.8,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",465.0,20.8,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",466.0,20.8,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",467.0,20.8,75.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",468.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",469.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",470.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",471.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",472.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",473.0,20.9,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",474.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",475.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",476.0,20.8,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",477.0,20.8,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",478.0,20.8,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",479.0,20.8,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",480.0,20.7,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",481.0,20.7,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",482.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",483.0,20.8,75.1,,
